customer_id,age,monthly_spend,support_tickets,tenure_months,churned
1001,25,20.5,5,3,1
1002,45,80.0,0,28,0
1003,35,40.2,3,11,1
1004,50,95.5,0,36,0
1005,23,15.0,6,2,1
1006,41,70.3,1,24,0
1007,33,38.0,4,9,1
1008,60,100.0,0,48,0
1009,29,22.4,5,4,1
1010,54,88.6,0,33,0
1011,31,45.0,2,14,0
1012,38,30.1,4,7,1
1013,47,90.2,0,30,0
1014,27,18.7,6,3,1
1015,44,75.5,1,22,0
1016,36,42.3,3,10,1
1017,52,92.0,0,35,0
1018,24,17.2,5,2,1
1019,40,68.4,1,20,0
1020,32,35.6,4,8,1
1021,58,98.1,0,44,0
1022,26,21.0,5,3,1
1023,43,73.2,1,25,0
1024,34,39.5,3,9,1
1025,49,85.0,0,31,0
1026,22,14.5,6,1,1
1027,39,66.8,2,19,0
1028,30,33.0,4,7,1
1029,56,95.9,0,40,0
1030,28,19.9,5,3,1
