customer_id,age,monthly_spend,tenure_months,support_tickets,contract_type,used_mobile_app,churned
5001,36,839,41,0,Monthly,Yes,0
5002,24,1599,48,8,Monthly,Yes,1
5003,54,737,14,0,Monthly,No,1
5004,29,1836,38,0,Annual,No,0
5005,25,504,18,5,Monthly,Yes,1
5006,65,1311,23,0,Monthly,Yes,0
5007,54,945,60,1,Annual,No,0
5008,21,1755,37,1,Monthly,No,0
5009,43,912,55,1,Monthly,No,1
5010,63,2361,23,4,Monthly,Yes,0
5011,29,1317,11,3,Monthly,No,1
5012,22,804,60,5,Monthly,Yes,0
5013,32,2309,26,1,Annual,No,0
5014,60,1309,14,6,Monthly,No,1
5015,53,878,9,8,Monthly,No,1
5016,33,2494,58,5,Annual,Yes,0
5017,22,2194,33,1,Annual,Yes,0
5018,57,440,41,6,Monthly,No,1
5019,35,2436,39,8,Annual,Yes,0
5020,36,1991,44,8,Monthly,No,1
5021,48,307,8,2,Monthly,No,1
5022,25,2215,33,8,Monthly,No,1
5023,42,1978,54,2,Monthly,Yes,0
5024,20,546,39,7,Annual,No,0
5025,22,830,54,3,Annual,Yes,0
5026,27,582,6,8,Monthly,No,1
5027,52,2219,36,4,Monthly,No,1
5028,44,2489,14,4,Monthly,No,1
5029,34,794,29,1,Annual,No,0
5030,56,784,2,3,Monthly,Yes,0
5031,40,456,4,0,Monthly,Yes,1
5032,27,1891,32,8,Monthly,No,1
5033,25,513,16,3,Annual,No,0
5034,65,419,23,7,Monthly,Yes,1
5035,34,721,47,1,Annual,No,0
5036,48,850,9,4,Monthly,Yes,1
