customer_id,annual_spend_k,purchase_frequency_per_month,avg_basket_value,loyalty_years
9015,56.8,2.7,3028,4.3
9011,10.1,11.4,623,0.9
9007,17.2,11.5,613,2.4
9028,28.5,5.8,1082,3.5
9016,42.3,1.5,3966,4.3
9012,19.6,11.9,563,1.4
9001,15.2,8.1,312,0.6
9032,26.6,5.0,1000,4.6
9033,29.6,3.7,1567,2.9
9021,55.0,1.3,3684,6.6
9027,24.4,4.4,1559,3.9
9010,21.3,10.3,368,0.8
9018,46.5,2.2,4761,5.1
9031,26.0,5.4,1528,2.0
9034,23.8,6.0,1483,2.1
9013,48.7,1.3,2536,7.9
9020,35.5,1.9,2958,3.0
9014,51.2,2.1,4834,5.2
9005,10.9,9.7,660,2.6
9023,54.6,1.2,3901,4.2
9006,14.7,9.9,620,0.7
9035,23.2,4.5,1137,2.2
9024,41.9,2.5,3769,5.8
9009,19.2,11.8,458,1.5
9030,23.3,3.2,1068,1.8
9036,21.8,5.2,914,3.4
9008,14.7,7.1,616,1.3
9026,24.1,4.5,1385,3.1
9004,13.1,7.3,391,1.0
9003,14.3,11.6,695,2.9
9017,45.5,1.3,4775,4.8
9019,57.9,2.0,3830,5.6
9022,48.9,1.7,3796,5.8
9025,27.1,5.7,1210,3.6
9002,11.9,7.6,577,2.9
9029,29.3,5.5,996,1.9
