customer_id,age,income,city,plan_type,churned
2001,25,32000,Pune,Basic,1
2002,45,,Delhi,Premium,0
2003,35,48000,Pune,Standard,1
2004,50,95000,Mumbai,Premium,0
2005,23,,Delhi,Basic,1
2006,41,72000,Mumbai,Standard,0
2007,33,,Pune,Basic,1
2008,60,110000,Delhi,Premium,0
2009,29,29000,Mumbai,Basic,1
2010,54,89000,Pune,Premium,0
2011,31,45000,Delhi,Standard,0
2012,38,,Mumbai,Basic,1
2013,47,91000,Pune,Premium,0
2014,27,,Delhi,Basic,1
2015,44,76000,Mumbai,Standard,0
2016,36,43000,Pune,,1
2017,52,93000,Delhi,Premium,0
2018,24,18000,Mumbai,Basic,1
2019,40,,Pune,Standard,0
2020,32,36000,Delhi,,1
2021,58,99000,Mumbai,Premium,0
2022,26,21000,Pune,Basic,1
2023,43,74000,Delhi,Standard,0
2024,34,,Mumbai,Basic,1
2025,49,86000,Pune,Premium,0
2026,22,15000,Delhi,Basic,1
2027,39,67000,Mumbai,Standard,0
2028,30,,Pune,Basic,1
2029,56,97000,Delhi,Premium,0
2030,28,20000,Mumbai,Basic,1
