sqft,num_rooms,age_years,distance_center_km,price_lakhs
800,3,15,12,40
1200,4,10,9,65
1500,5,8,7,78
2000,6,5,4,105
2500,7,3,2,130
900,3,20,14,45
1700,5,6,5,88
2200,6,4,3,115
1000,3,18,13,48
1350,4,12,8,70
1600,5,7,6,82
1900,6,9,5,98
2100,6,6,4,110
750,3,22,15,38
1450,4,11,7,74
1800,5,10,6,92
2400,7,2,2,128
950,3,16,13,47
1250,4,14,9,66
2050,6,7,4,107
1550,5,9,6,80
1100,3,13,10,52
1750,5,8,5,89
2300,7,3,2,122
850,3,19,14,42
1400,4,10,8,72
2150,6,5,3,112
1050,3,17,11,50
1650,5,7,6,85
1950,6,8,5,100
