applicant_id,age,income_k,credit_score,employment_type,loan_amount_k,approved
3001,25,32,610,Salaried,150,0
3002,45,95,780,Salaried,300,1
3003,35,48,650,Self-employed,200,0
3004,50,120,810,Salaried,350,1
3005,23,29,590,Student,100,0
3006,41,88,760,Salaried,280,1
3007,33,45,630,Self-employed,190,0
3008,60,140,820,Retired,400,1
3009,29,31,600,Salaried,160,0
3010,54,110,800,Salaried,330,1
3011,31,50,670,Self-employed,210,0
3012,38,40,620,Salaried,180,0
3013,47,105,790,Salaried,310,1
3014,27,27,580,Student,90,0
3015,44,92,770,Salaried,290,1
3016,36,42,640,Self-employed,200,0
3017,52,115,805,Salaried,340,1
3018,24,25,585,Student,95,0
3019,40,85,750,Salaried,270,1
3020,32,38,615,Self-employed,185,0
3021,58,130,815,Retired,380,1
3022,26,28,595,Salaried,150,0
3023,43,90,765,Salaried,285,1
3024,34,41,625,Self-employed,195,0
3025,49,108,795,Salaried,320,1
3026,22,24,575,Student,85,0
3027,39,80,740,Salaried,260,1
3028,30,35,605,Self-employed,175,0
3029,56,125,808,Retired,360,1
3030,28,30,600,Salaried,160,0
