transaction_id,amount,merchant_category,hour_of_day,is_fraud
5001,1200,Electronics,23,1
5002,45,Grocery,10,0
5003,60,Grocery,11,0
5004,3200,Electronics,2,1
5005,25,Grocery,9,0
5006,80,Restaurant,19,0
5007,150,Clothing,14,0
5008,2900,Electronics,3,1
5009,35,Grocery,8,0
5010,70,Restaurant,20,0
5011,40,Grocery,12,0
5012,1800,Electronics,1,1
5013,55,Grocery,13,0
5014,90,Clothing,15,0
5015,30,Grocery,10,0
5016,65,Restaurant,18,0
5017,2100,Electronics,0,1
5018,48,Grocery,11,0
5019,110,Clothing,16,0
5020,20,Grocery,9,0
5021,3400,Electronics,2,1
5022,75,Restaurant,20,0
5023,42,Grocery,10,0
5024,95,Clothing,15,0
5025,28,Grocery,8,0
5026,2600,Electronics,1,1
5027,58,Grocery,12,0
5028,85,Restaurant,19,0
5029,33,Grocery,9,0
5030,120,Clothing,14,0
5031,1950,Electronics,3,1
5032,50,Grocery,11,0
5033,68,Restaurant,17,0
5034,38,Grocery,10,0
5035,105,Clothing,16,0
