Date,City,Revenue (INR)
2026-08-01,Chennai,10461
2026-08-02,Chennai,10275
2026-08-03,Chennai,9290
2026-08-04,Chennai,9312
2026-08-05,Chennai,9154
2026-08-06,Chennai,9255
2026-08-07,Chennai,10837
2026-08-08,Chennai,10739
2026-08-09,Chennai,10686
2026-08-10,Chennai,9303
2026-08-11,Chennai,9070
2026-08-12,Chennai,5140
2026-08-13,Chennai,8953
2026-08-14,Chennai,10530
2026-08-15,Chennai,10514
2026-08-16,Chennai,10321
2026-08-17,Chennai,9183
2026-08-18,Chennai,9447
2026-08-19,Chennai,9149
2026-08-20,Chennai,9019
2026-08-21,Chennai,10566
2026-08-22,Chennai,8893
2026-08-23,Chennai,8443
2026-08-24,Chennai,8273
2026-08-25,Chennai,8031
2026-08-26,Chennai,7459
2026-08-27,Chennai,7180
2026-08-28,Chennai,6883
2026-08-29,Chennai,6644
2026-08-30,Chennai,6362
2026-08-31,Chennai,5867
