Order ID,Order Date,City,Category,Quantity,Revenue (INR),Delivery Partner
12920,2026-08-01,Bengaluru,Snacks,6,407,RapidVan
10215,2026-08-01,Bengaluru,Snacks,6,389,QuickDash
11815,2026-08-01,Hyderabad,Groceries,8,636,CityLogix
11809,2026-08-01,Chennai,Beverages,4,171,SwiftKart
11353,2026-08-01,Hyderabad,Beverages,1,43,SwiftKart
10883,2026-08-01,Chennai,Snacks,8,495,LocalHub
11797,2026-08-01,Chennai,Groceries,5,360,SwiftKart
10887,2026-08-01,Pune,Beverages,6,287,LocalHub
10916,2026-08-01,Pune,Groceries,3,241,LocalHub
10408,2026-08-01,Hyderabad,Bakery,5,320,CityLogix
12503,2026-08-01,Chennai,Personal Care,4,591,SwiftKart
11074,2026-08-01,Bengaluru,Dairy,2,101,LocalHub
10611,2026-08-01,Pune,Snacks,3,195,LocalHub
10405,2026-08-01,Chennai,Dairy,5,267,SwiftKart
11754,2026-08-01,Chennai,Groceries,7,563,SwiftKart
12696,2026-08-01,Chennai,Dairy,8,408,RapidVan
10249,2026-08-01,Bengaluru,Snacks,2,129,QuickDash
11740,2026-08-01,Pune,Groceries,6,519,SwiftKart
11817,2026-08-01,Hyderabad,Household Essentials,6,875,QuickDash
10211,2026-08-01,Bengaluru,Dairy,3,144,SwiftKart
10208,2026-08-01,Pune,Groceries,5,417,SwiftKart
11342,2026-08-01,Bengaluru,Snacks,5,282,LocalHub
10514,2026-08-01,Hyderabad,Beverages,4,192,LocalHub
10644,2026-08-01,Chennai,Groceries,8,775,LocalHub
10436,2026-08-01,Pune,Beverages,5,276,SwiftKart
11895,2026-08-01,Bengaluru,Bakery,8,532,LocalHub
10641,2026-08-01,Pune,Snacks,4,223,SwiftKart
11095,2026-08-01,Pune,Groceries,1,88,CityLogix
10517,2026-08-01,Bengaluru,Snacks,7,402,QuickDash
11092,2026-08-01,Pune,Snacks,8,500,SwiftKart
11733,2026-08-01,Hyderabad,Household Essentials,2,248,RapidVan
10639,2026-08-01,Bengaluru,Snacks,7,392,LocalHub
10425,2026-08-01,Hyderabad,Household Essentials,7,786,RapidVan
12254,2026-08-01,Bengaluru,Snacks,7,409,QuickDash
11085,2026-08-01,Chennai,Household Essentials,5,653,LocalHub
11869,2026-08-01,Pune,Dairy,7,380,LocalHub
11865,2026-08-01,Hyderabad,Dairy,1,56,LocalHub
12257,2026-08-01,Hyderabad,Snacks,1,59,LocalHub
12512,2026-08-01,Chennai,Baby Care,6,1226,CityLogix
11830,2026-08-01,Hyderabad,Groceries,1,86,LocalHub
13034,2026-08-01,Pune,Snacks,1,63,LocalHub
12694,2026-08-01,Pune,Snacks,1,63,QuickDash
12489,2026-08-01,Pune,Beverages,4,175,CityLogix
12692,2026-08-01,Chennai,Baby Care,1,194,LocalHub
11465,2026-08-01,Pune,Snacks,8,462,CityLogix
11471,2026-08-01,Chennai,Groceries,6,532,RapidVan
12646,2026-08-01,Chennai,Groceries,4,344,QuickDash
12953,2026-08-01,Chennai,Beverages,1,44,QuickDash
12383,2026-08-01,Bengaluru,Snacks,7,444,LocalHub
11602,2026-08-01,Hyderabad,Household Essentials,1,120,QuickDash
10567,2026-08-01,Hyderabad,Snacks,4,240,SwiftKart
10356,2026-08-01,Pune,Snacks,3,185,LocalHub
12375,2026-08-01,Pune,Bakery,5,381,SwiftKart
11007,2026-08-01,Hyderabad,Beverages,6,287,LocalHub
10555,2026-08-01,Pune,Bakery,4,283,QuickDash
12955,2026-08-01,Hyderabad,Beverages,4,194,LocalHub
11532,2026-08-01,Chennai,Household Essentials,3,349,LocalHub
11016,2026-08-01,Chennai,Beverages,2,83,LocalHub
11531,2026-08-01,Bengaluru,Groceries,5,452,SwiftKart
11493,2026-08-01,Bengaluru,Dairy,5,284,LocalHub
11027,2026-08-01,Chennai,Groceries,2,170,LocalHub
11509,2026-08-01,Pune,Personal Care,3,444,RapidVan
12447,2026-08-01,Chennai,Household Essentials,5,667,CityLogix
12521,2026-08-01,Chennai,Snacks,3,199,LocalHub
12639,2026-08-01,Bengaluru,Baby Care,5,1033,CityLogix
10307,2026-08-01,Hyderabad,Personal Care,8,1198,LocalHub
11706,2026-08-01,Bengaluru,Frozen Foods,8,976,SwiftKart
12847,2026-08-01,Hyderabad,Groceries,21,1848,LocalHub
10948,2026-08-01,Chennai,Groceries,3,249,SwiftKart
12683,2026-08-01,Hyderabad,Beverages,2,90,CityLogix
