Order ID,Order Date,City,Category,Quantity,Revenue (INR),Delivery Partner
12784,2026-07-01,Bengaluru,Snacks,6,322,QuickDash
12229,2026-07-01,Hyderabad,Beverages,8,375,CityLogix
13691,2026-07-01,Bengaluru,Baby Care,1,185,RapidVan
13118,2026-07-01,Bengaluru,Beverages,5,242,SwiftKart
12877,2026-07-01,Hyderabad,Snacks,1,59,LocalHub
11132,2026-07-01,Chennai,Frozen Foods,4,481,CityLogix
11144,2026-07-01,Pune,Snacks,8,541,RapidVan
12199,2026-07-01,Hyderabad,Personal Care,6,936,SwiftKart
13181,2026-07-01,Pune,Groceries,2,186,RapidVan
11753,2026-07-01,Bengaluru,Baby Care,1,176,SwiftKart
12651,2026-07-01,Pune,Beverages,3,164,SwiftKart
12939,2026-07-01,Bengaluru,Baby Care,1,224,RapidVan
13183,2026-07-01,Hyderabad,Bakery,8,442,RapidVan
11913,2026-07-01,Chennai,Household Essentials,2,229,RapidVan
11878,2026-07-01,Hyderabad,Beverages,2,94,CityLogix
13251,2026-07-01,Pune,Beverages,8,410,SwiftKart
12184,2026-07-01,Bengaluru,Beverages,7,329,RapidVan
12493,2026-07-01,Hyderabad,Personal Care,4,597,LocalHub
11116,2026-07-01,Bengaluru,Baby Care,3,534,RapidVan
13469,2026-07-01,Hyderabad,Frozen Foods,2,223,RapidVan
12604,2026-07-01,Bengaluru,Groceries,8,647,SwiftKart
13303,2026-07-01,Chennai,Beverages,1,39,LocalHub
12284,2026-07-01,Hyderabad,Beverages,5,261,SwiftKart
12283,2026-07-01,Chennai,Dairy,2,90,LocalHub
11338,2026-07-01,Bengaluru,Snacks,4,254,CityLogix
12915,2026-07-01,Hyderabad,Snacks,8,480,QuickDash
13152,2026-07-01,Chennai,Frozen Foods,5,569,SwiftKart
11871,2026-07-01,Hyderabad,Dairy,4,246,CityLogix
11037,2026-07-01,Bengaluru,Beverages,2,92,QuickDash
13436,2026-07-01,Pune,Groceries,6,521,SwiftKart
11519,2026-07-01,Pune,Dairy,1,64,CityLogix
11705,2026-07-01,Chennai,Dairy,6,312,SwiftKart
12899,2026-07-01,Pune,Groceries,5,572,RapidVan
11401,2026-07-01,Bengaluru,Household Essentials,3,317,CityLogix
11931,2026-07-01,Chennai,Personal Care,3,403,LocalHub
11097,2026-07-01,Bengaluru,Beverages,7,354,RapidVan
11715,2026-07-01,Bengaluru,Groceries,8,773,LocalHub
12534,2026-07-01,Chennai,Household Essentials,2,199,LocalHub
12887,2026-07-01,Chennai,Bakery,2,135,RapidVan
13437,2026-07-01,Hyderabad,Household Essentials,3,347,RapidVan
13546,2026-07-01,Hyderabad,Dairy,1,56,SwiftKart
11484,2026-07-01,Hyderabad,Groceries,5,485,LocalHub
11281,2026-07-01,Chennai,Groceries,4,323,SwiftKart
12719,2026-07-01,Chennai,Groceries,2,164,QuickDash
11841,2026-07-01,Chennai,Personal Care,6,785,SwiftKart
12035,2026-07-01,Bengaluru,Frozen Foods,5,674,QuickDash
11901,2026-07-01,Pune,Snacks,8,461,CityLogix
12457,2026-07-01,Pune,Groceries,3,283,QuickDash
12956,2026-07-01,Chennai,Groceries,3,271,SwiftKart
13342,2026-07-01,Hyderabad,Baby Care,6,1172,CityLogix
11224,2026-07-01,Hyderabad,Frozen Foods,7,756,LocalHub
13845,2026-07-01,Chennai,Groceries,8,673,LocalHub
11236,2026-07-01,Hyderabad,Snacks,3,171,RapidVan
11886,2026-07-01,Hyderabad,Beverages,6,288,RapidVan
13848,2026-07-01,Hyderabad,Beverages,6,301,RapidVan
11432,2026-07-01,Chennai,Groceries,6,460,SwiftKart
13033,2026-07-01,Bengaluru,Bakery,8,528,LocalHub
11812,2026-07-01,Pune,Snacks,3,207,QuickDash
11274,2026-07-01,Bengaluru,Frozen Foods,6,846,CityLogix
13556,2026-07-01,Hyderabad,Bakery,3,200,RapidVan
13338,2026-07-01,Chennai,Groceries,8,694,LocalHub
11644,2026-07-01,Hyderabad,Baby Care,7,1480,CityLogix
