Date,City,New_Customer_Signups
2026-07-06,Pune,17
2026-07-07,Pune,17
2026-07-08,Pune,19
2026-07-09,Pune,18
2026-07-10,Pune,20
2026-07-11,Pune,19
2026-07-12,Pune,19
2026-07-13,Pune,20
2026-07-14,Pune,20
2026-07-15,Pune,18
2026-07-16,Pune,22
2026-07-17,Pune,21
2026-07-18,Pune,21
2026-07-19,Pune,19
2026-07-20,Pune,18
2026-07-21,Pune,19
2026-07-22,Pune,20
2026-07-23,Pune,22
2026-07-24,Pune,22
2026-07-25,Pune,23
2026-07-26,Pune,24
2026-07-27,Pune,22
2026-07-28,Pune,22
2026-07-29,Pune,22
2026-07-30,Pune,22
2026-07-31,Pune,21
2026-08-01,Pune,23
2026-08-02,Pune,23
2026-08-03,Pune,22
2026-08-04,Pune,22
2026-08-05,Pune,24
2026-08-06,Pune,25
2026-08-07,Pune,24
2026-08-08,Pune,24
2026-08-09,Pune,24
2026-08-10,Pune,24
2026-08-11,Pune,24
2026-08-12,Pune,24
2026-08-13,Pune,24
2026-08-14,Pune,26
2026-08-15,Pune,27
2026-08-16,Pune,25
